LGBM,GBDT,ET,RF,XGBoost,voting_clf,stacking
0.6511106832536477,0.6975890707496598,0.62,0.56,0.44173864,0.570949772851746,0.8659073658210803
0.282626793397878,0.6730660965385422,0.48,0.57,0.37989795,0.3808415818258837,0.1458309735838752
0.9738858347625117,0.828829545889652,0.67,0.7,0.98472714,0.8762043263346149,0.9959224578551054
0.1121627653421406,0.35486013597147786,0.33,0.31,0.5077958,0.31665285868053455,0.2854728849659851
0.988148074187312,0.8247058998716763,0.77,0.82,0.93359005,0.8972460428997787,0.9959224578551054
0.11139745364939914,0.49677016923270995,0.4,0.38,0.3308972,0.2807648885593009,0.010452549156887283
0.9936139935558163,0.9261016854183182,0.84,0.84,0.9926911,0.9421016977331744,0.9959224578551054
0.348051278686803,0.4078042443031338,0.49,0.43,0.69432765,0.5107929770470597,0.2854728849659851
0.9982715016789941,0.9690720735706558,0.84,0.86,0.99921036,0.9458272864483366,0.9959224578551054
0.5266784501294093,0.7038031889057347,0.44,0.5,0.85673285,0.6078037651452686,0.9959224578551054
0.769820307687979,0.7146026163994602,0.56,0.58,0.9953709,0.7750637440535959,0.9959224578551054
0.08251523544972568,0.1955805430758413,0.44,0.48,0.15902989,0.2271817071920813,0.010452549156887283
0.9989436592563901,0.9637579169721696,0.83,0.83,0.9931486,0.9406974280511311,0.9959224578551054
0.9716164068113078,0.8151210490943277,0.53,0.57,0.98784864,0.8298216820998426,0.9959224578551054
0.9827857575466303,0.7235249857256619,0.54,0.62,0.99349433,0.8387600297944436,0.9959224578551054
0.9802193877024974,0.8856897498207099,0.48,0.61,0.9331697,0.7977963700865217,0.9959224578551054
0.9921250186135697,0.9469257032947429,0.67,0.75,0.9986381,0.886921037361699,0.9959224578551054
0.5871282931150397,0.6091035363157122,0.61,0.57,0.8597387,0.6856223335524864,0.9959224578551054
0.9867566178285607,0.8064462545540133,0.54,0.59,0.9911094,0.8392886630046211,0.9959224578551054
0.9629401138116561,0.9227659159587079,0.5,0.59,0.9687715,0.81057054369614,0.9959224578551054
0.9492317922961901,0.9173622619349181,0.8,0.81,0.92147934,0.8902370455547238,0.9959224578551054
0.9443529332436493,0.9351738052792604,0.75,0.78,0.98091334,0.8917554247630096,0.9959224578551054
0.8721450710832128,0.48900209076485807,0.59,0.52,0.61238223,0.6915091014086885,0.9379324160359819
0.8687874255000919,0.8205681243475026,0.54,0.61,0.6984872,0.7024248825649212,0.9959224578551054
