0,1,2,3,4,5,6,7,8,9,10,11
0.0005672819097526371,0.0,0.03,0.0,0.03,0.0,0.00026808585971593857,0.0,0.11,0.0,0.15,0.0
0.8756403923034668,1.0,0.51,1.0,0.42,0.0,0.1501590758562088,0.0,0.36,0.0,0.24,0.0
0.02555195614695549,0.0,0.14,0.0,0.27,0.0,0.15297994017601013,0.0,0.28,0.0,0.2,0.0
0.12826623022556305,0.0,0.23,0.0,0.07,0.0,0.32208558917045593,0.0,0.23,0.0,0.17,0.0
0.0010791529202833772,0.0,0.01,0.0,0.01,0.0,0.003874303074553609,0.0,0.04,0.0,0.02,0.0
0.0004357050929684192,0.0,0.01,0.0,0.01,0.0,0.0018493738025426865,0.0,0.12,0.0,0.15,0.0
0.00013310588838066906,0.0,0.01,0.0,0.02,0.0,0.00022324727615341544,0.0,0.02,0.0,0.02,0.0
0.0005769424024038017,0.0,0.02,0.0,0.07,0.0,0.000404731254093349,0.0,0.03,0.0,0.05,0.0
0.004274206701666117,0.0,0.26,0.0,0.06,0.0,0.008498946204781532,0.0,0.36,0.0,0.29,0.0
0.9137053489685059,1.0,0.75,1.0,0.47,0.0,0.75372713804245,1.0,0.6,1.0,0.56,1.0
0.007320890203118324,0.0,0.04,0.0,0.08,0.0,0.014988240785896778,0.0,0.1,0.0,0.09,0.0
0.07840019464492798,0.0,0.22,0.0,0.21,0.0,0.054346997290849686,0.0,0.28,0.0,0.3,0.0
0.0010631522163748741,0.0,0.07,0.0,0.09,0.0,0.004089038819074631,0.0,0.09,0.0,0.15,0.0
0.0004934064927510917,0.0,0.0,0.0,0.0,0.0,0.003080521710216999,0.0,0.14,0.0,0.02,0.0
3.173868390149437e-05,0.0,0.0,0.0,0.0,0.0,0.00026052899193018675,0.0,0.01,0.0,0.0,0.0
0.9900467991828918,1.0,0.7,1.0,0.58,1.0,0.9890226125717163,1.0,0.88,1.0,0.7,1.0
0.009737787768244743,0.0,0.15,0.0,0.1,0.0,0.004634086508303881,0.0,0.29,0.0,0.26,0.0
0.01382929552346468,0.0,0.07,0.0,0.04,0.0,0.003911117557436228,0.0,0.09,0.0,0.13,0.0
